GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031231200,Census Tract 2312,Total population,39042,10869
1400000U,17031231500,Census Tract 2315,Total population,30341,15750
1400000U,17031240200,Census Tract 2402,Total population,144659,20600
1400000U,17031240300,Census Tract 2403,Total population,139432,46421
1400000U,17031240500,Census Tract 2405,Total population,167768,22285
1400000U,17031240600,Census Tract 2406,Total population,144286,18506
1400000U,17031240700,Census Tract 2407,Total population,93534,33436
1400000U,17031240800,Census Tract 2408,Total population,91964,29775
1400000U,17031240900,Census Tract 2409,Total population,66250,38195
1400000U,17031241000,Census Tract 2410,Total population,80000,11465
1400000U,17031241100,Census Tract 2411,Total population,82830,6857
1400000U,17031241200,Census Tract 2412,Total population,116346,28069
1400000U,17031241300,Census Tract 2413,Total population,158750,23062
1400000U,17031241400,Census Tract 2414,Total population,149792,18960
1400000U,17031241500,Census Tract 2415,Total population,158750,29260
1400000U,17031241600,Census Tract 2416,Total population,107031,8196
1400000U,17031242000,Census Tract 2420,Total population,133017,27880
1400000U,17031242100,Census Tract 2421,Total population,177356,40037
1400000U,17031242200,Census Tract 2422,Total population,147206,13253
1400000U,17031242300,Census Tract 2423,Total population,94670,13182
1400000U,17031242400,Census Tract 2424,Total population,94659,13830
1400000U,17031242500,Census Tract 2425,Total population,79722,13095
1400000U,17031242600,Census Tract 2426,Total population,80217,8125
1400000U,17031242700,Census Tract 2427,Total population,65781,22534
1400000U,17031242800,Census Tract 2428,Total population,127813,37727
1400000U,17031242900,Census Tract 2429,Total population,122857,31365
1400000U,17031243000,Census Tract 2430,Total population,106250,34068
1400000U,17031243100,Census Tract 2431,Total population,103750,27584
1400000U,17031243200,Census Tract 2432,Total population,118553,35962
1400000U,17031243300,Census Tract 2433,Total population,115855,35652
1400000U,17031243400,Census Tract 2434,Total population,101450,29250
1400000U,17031243500,Census Tract 2435,Total population,148646,11631
1400000U,17031250200,Census Tract 2502,Total population,55208,19133
1400000U,17031250300,Census Tract 2503,Total population,42935,10414
1400000U,17031250400,Census Tract 2504,Total population,47500,8874
1400000U,17031250500,Census Tract 2505,Total population,104659,43230
1400000U,17031250600,Census Tract 2506,Total population,56985,13391
1400000U,17031250700,Census Tract 2507,Total population,43358,10731
1400000U,17031250800,Census Tract 2508,Total population,61229,6985
1400000U,17031251000,Census Tract 2510,Total population,29915,8513
1400000U,17031251100,Census Tract 2511,Total population,29460,8964
1400000U,17031251200,Census Tract 2512,Total population,42522,17347
1400000U,17031251300,Census Tract 2513,Total population,37026,4131
1400000U,17031251400,Census Tract 2514,Total population,18806,3655
1400000U,17031251500,Census Tract 2515,Total population,38702,22703
1400000U,17031251600,Census Tract 2516,Total population,32593,12393
1400000U,17031251700,Census Tract 2517,Total population,52031,14731
1400000U,17031251800,Census Tract 2518,Total population,26940,11227
1400000U,17031251900,Census Tract 2519,Total population,26830,9413
1400000U,17031252000,Census Tract 2520,Total population,27156,11003
1400000U,17031252101,Census Tract 2521.01,Total population,-,**
1400000U,17031252102,Census Tract 2521.02,Total population,45969,7608
1400000U,17031252201,Census Tract 2522.01,Total population,39702,8959
1400000U,17031252202,Census Tract 2522.02,Total population,37188,14608
1400000U,17031260100,Census Tract 2601,Total population,21188,9292
1400000U,17031260200,Census Tract 2602,Total population,41506,7055
1400000U,17031260300,Census Tract 2603,Total population,18803,4501
1400000U,17031260500,Census Tract 2605,Total population,40985,11017
1400000U,17031260600,Census Tract 2606,Total population,43427,11096
1400000U,17031260700,Census Tract 2607,Total population,30694,15699
1400000U,17031260800,Census Tract 2608,Total population,37708,13805
1400000U,17031260900,Census Tract 2609,Total population,24112,20545
1400000U,17031261000,Census Tract 2610,Total population,40684,3940
1400000U,17031270500,Census Tract 2705,Total population,19107,6723
1400000U,17031271200,Census Tract 2712,Total population,27784,9304
1400000U,17031271300,Census Tract 2713,Total population,33750,25904
1400000U,17031271400,Census Tract 2714,Total population,27273,7035
1400000U,17031271500,Census Tract 2715,Total population,37857,10768
1400000U,17031280100,Census Tract 2801,Total population,131742,28057
1400000U,17031280400,Census Tract 2804,Total population,65972,37226
1400000U,17031280800,Census Tract 2808,Total population,21786,17798
1400000U,17031280900,Census Tract 2809,Total population,-,**
1400000U,17031281900,Census Tract 2819,Total population,118669,16236
1400000U,17031282700,Census Tract 2827,Total population,77826,17801
1400000U,17031282800,Census Tract 2828,Total population,74158,7959
1400000U,17031283100,Census Tract 2831,Total population,41555,33971
1400000U,17031283200,Census Tract 2832,Total population,53153,10082
1400000U,17031283800,Census Tract 2838,Total population,76615,21696
1400000U,17031290900,Census Tract 2909,Total population,31528,15684
1400000U,17031291200,Census Tract 2912,Total population,26250,13773
1400000U,17031291600,Census Tract 2916,Total population,110167,53813
1400000U,17031292200,Census Tract 2922,Total population,32192,11583
1400000U,17031292400,Census Tract 2924,Total population,44801,10862
1400000U,17031292500,Census Tract 2925,Total population,46847,10231
1400000U,17031300500,Census Tract 3005,Total population,49500,15524
1400000U,17031300600,Census Tract 3006,Total population,46839,3026
1400000U,17031300700,Census Tract 3007,Total population,43801,5145
1400000U,17031300800,Census Tract 3008,Total population,30465,5258
1400000U,17031300900,Census Tract 3009,Total population,30395,9470
1400000U,17031301100,Census Tract 3011,Total population,34315,7712
1400000U,17031301200,Census Tract 3012,Total population,38319,11999
1400000U,17031301600,Census Tract 3016,Total population,28527,1917
1400000U,17031301701,Census Tract 3017.01,Total population,49026,6623
1400000U,17031301702,Census Tract 3017.02,Total population,40128,9137
1400000U,17031301801,Census Tract 3018.01,Total population,41188,15996
1400000U,17031301802,Census Tract 3018.02,Total population,37857,12111
1400000U,17031301803,Census Tract 3018.03,Total population,37299,21013
1400000U,17031310200,Census Tract 3102,Total population,96042,19660
1400000U,17031310300,Census Tract 3103,Total population,70149,15580
1400000U,17031310400,Census Tract 3104,Total population,59833,26644
1400000U,17031310500,Census Tract 3105,Total population,53923,10094
1400000U,17031310600,Census Tract 3106,Total population,68958,7866
1400000U,17031310700,Census Tract 3107,Total population,60278,10099
1400000U,17031310800,Census Tract 3108,Total population,59474,23067
1400000U,17031310900,Census Tract 3109,Total population,68347,33199
1400000U,17031320101,Census Tract 3201.01,Total population,112139,25587
1400000U,17031320102,Census Tract 3201.02,Total population,178084,44184
1400000U,17031320400,Census Tract 3204,Total population,155189,35634
1400000U,17031320600,Census Tract 3206,Total population,113051,6309
1400000U,17031330101,Census Tract 3301.01,Total population,161990,43714
1400000U,17031330102,Census Tract 3301.02,Total population,105639,13944
1400000U,17031330103,Census Tract 3301.03,Total population,99623,30792
1400000U,17031330200,Census Tract 3302,Total population,117237,26361
1400000U,17031340300,Census Tract 3403,Total population,35761,8423
1400000U,17031340400,Census Tract 3404,Total population,46827,12928
1400000U,17031340500,Census Tract 3405,Total population,35060,17990
1400000U,17031340600,Census Tract 3406,Total population,13897,4166
1400000U,17031350100,Census Tract 3501,Total population,56593,5255
1400000U,17031350400,Census Tract 3504,Total population,18368,9440
1400000U,17031351000,Census Tract 3510,Total population,52877,6282
1400000U,17031351100,Census Tract 3511,Total population,14463,5427
1400000U,17031351400,Census Tract 3514,Total population,15865,11556
1400000U,17031351500,Census Tract 3515,Total population,-,**
1400000U,17031360200,Census Tract 3602,Total population,25305,6011
1400000U,17031380100,Census Tract 3801,Total population,23417,22529
1400000U,17031380200,Census Tract 3802,Total population,22629,9231
1400000U,17031380600,Census Tract 3806,Total population,26510,9683
1400000U,17031381200,Census Tract 3812,Total population,38200,25952
1400000U,17031381400,Census Tract 3814,Total population,38007,8378
1400000U,17031381500,Census Tract 3815,Total population,21230,4412
1400000U,17031381800,Census Tract 3818,Total population,37264,25703
1400000U,17031381900,Census Tract 3819,Total population,55521,8843
1400000U,17031390100,Census Tract 3901,Total population,56023,51755
1400000U,17031390200,Census Tract 3902,Total population,95888,15615
1400000U,17031390300,Census Tract 3903,Total population,23861,9562
1400000U,17031390400,Census Tract 3904,Total population,22368,8943
1400000U,17031390500,Census Tract 3905,Total population,49784,10855
1400000U,17031390600,Census Tract 3906,Total population,60208,35554
1400000U,17031390700,Census Tract 3907,Total population,71138,16474
1400000U,17031400300,Census Tract 4003,Total population,41875,4938
1400000U,17031400400,Census Tract 4004,Total population,33886,13829
1400000U,17031400500,Census Tract 4005,Total population,20827,10265
1400000U,17031400800,Census Tract 4008,Total population,10563,10242
1400000U,17031410100,Census Tract 4101,Total population,43901,12316
1400000U,17031410200,Census Tract 4102,Total population,52344,13371
1400000U,17031410500,Census Tract 4105,Total population,65441,16557
1400000U,17031410600,Census Tract 4106,Total population,34960,23885
1400000U,17031410700,Census Tract 4107,Total population,55427,27677
1400000U,17031410800,Census Tract 4108,Total population,49405,11508
1400000U,17031410900,Census Tract 4109,Total population,70083,8212
1400000U,17031411000,Census Tract 4110,Total population,56512,19577
1400000U,17031411100,Census Tract 4111,Total population,118082,12510
1400000U,17031411200,Census Tract 4112,Total population,100536,44155
1400000U,17031420100,Census Tract 4201,Total population,19608,7104
1400000U,17031420200,Census Tract 4202,Total population,26583,7895
1400000U,17031420300,Census Tract 4203,Total population,36031,11293
1400000U,17031420400,Census Tract 4204,Total population,24870,9936
1400000U,17031420500,Census Tract 4205,Total population,23539,7967
1400000U,17031420600,Census Tract 4206,Total population,30828,7046
1400000U,17031420700,Census Tract 4207,Total population,24508,3438
1400000U,17031420800,Census Tract 4208,Total population,41438,13189
1400000U,17031421200,Census Tract 4212,Total population,38068,19224
1400000U,17031430101,Census Tract 4301.01,Total population,22418,17311
1400000U,17031430102,Census Tract 4301.02,Total population,42801,13061
1400000U,17031430200,Census Tract 4302,Total population,29913,13765
1400000U,17031430300,Census Tract 4303,Total population,32000,11556
1400000U,17031430400,Census Tract 4304,Total population,37485,9152
1400000U,17031430500,Census Tract 4305,Total population,22136,7151
1400000U,17031430600,Census Tract 4306,Total population,52202,30169
1400000U,17031430700,Census Tract 4307,Total population,26875,20359
1400000U,17031430800,Census Tract 4308,Total population,40057,11965
1400000U,17031430900,Census Tract 4309,Total population,41833,18205
1400000U,17031431200,Census Tract 4312,Total population,58884,10368
1400000U,17031431301,Census Tract 4313.01,Total population,34220,3993
1400000U,17031431302,Census Tract 4313.02,Total population,25424,12201
1400000U,17031431400,Census Tract 4314,Total population,38858,8635
1400000U,17031440101,Census Tract 4401.01,Total population,29162,6833
1400000U,17031440102,Census Tract 4401.02,Total population,37194,9538
1400000U,17031440201,Census Tract 4402.01,Total population,29071,16239
1400000U,17031440202,Census Tract 4402.02,Total population,31534,5119
1400000U,17031440300,Census Tract 4403,Total population,51559,17969
1400000U,17031440600,Census Tract 4406,Total population,60000,14179
